"                                                                                                                                                                                     GREEN CUP INDEX
",,,,,,,,,,,,,,,,,,,,,,
H-17,18005.00,7000.00,1400.00,6230.00,789,"70,797",7.00,2.72,0.54,2.42,0.31,27.54,NP,NP,"2,570.40",0.00,10.00,10.00,10.00,9.40,10.00,8.96
H-18,2000.00,6598.00,1319.60,5872.22,453,"70,797",0.93,3.05,0.61,2.72,0.21,32.78,NP,NP,"2,160.00",9.86,8.99,9.93,8.99,9.91,9.92,9.64
Credit,6,14,12,4,4,20,,,,,,,,,,,,,,,,
,,,,,,Min,0.84,2.72,0.54,2.42,0.19,27.54,,,,,,,,,,
,,,,,,Max,7.00,6.01,9.58,5.35,2.10,724.40,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
                                                                                                                                                                                   Qualitative Scoring,,,,,,,,,,,,,,,,,,,,,,
HOSTEL,No of residents,Cycle auctioned ,Carbon Footprint avoided (162.25),Cloth donated per year (kg),Carbon Footprint avoided (25),Zero waste days(percent reduction),No of Zero waste days,Score for zero waste days,,,,,,,,,,,,,,
H-01,486.00,50,16.69238683,50,2.572016461,10,FALSE,,,,,,,,,,,,,,,
H-02,540.00,57,17.12638889,36,1.666666667,5,2,,,,,,,,,,,,,,,
H-03,432.00,26,9.765046296,10,0.5787037037,32,FALSE,,,,,,,,,,,,,,,
H-04,648.00,89,22.28433642,22,0.8487654321,45,FALSE,,,,,,,,,,,,,,,
H-05,594.00,45,12.29166667,16,0.6734006734,2,2,,,,,,,,,,,,,,,
H-06,280.80,78,45.06944444,36,3.205128205,17,FALSE,,,,,,,,,,,,,,,
H-09,421.20,60,23.11253561,22,1.305792972,31,FALSE,,,,,,,,,,,,,,,
H-10,"2,376.00",75,5.121527778,5,0.05260942761,12,FALSE,,,,,,,,,,,,,,,
H-11,432.00,36,13.52083333,9,0.5208333333,14,FALSE,,,,,,,,,,,,,,,
H-12,"1,084.00",45,6.73547048,7,0.1614391144,16,FALSE,,,,,,,,,,,,,,,
H-13,"1,000.00",68,11.033,25,0.625,26,FALSE,,,,,,,,,,,,,,,
H-14,"1,200.00",150,20.28125,23,0.4791666667,38,FALSE,,,,,,,,,,,,,,,
H-15,"1,080.00",100,15.02314815,15,0.3472222222,29,FALSE,,,,,,,,,,,,,,,
H-16,"1,080.00",98,14.72268519,9,0.2083333333,19,FALSE,,,,,,,,,,,,,,,
H-17,"2,570.40",50,3.156123561,20,0.1945222533,18,FALSE,,,,,,,,,,,,,,,
H-18,"2,160.00",33,2.478819444,35,0.4050925926,22,FALSE,,,,,,,,,,,,,,,
